"","date","djia","nasdaqcom","btc","sp500","rate"
"1",2014-09-17,17156.85,4562.19,457.334015,2001.57,0.09
"2",2014-09-18,17265.99,4593.43,424.440002,2011.36,0.09
"3",2014-09-19,17279.74,4579.79,394.79599,2010.4,0.09
"4",2014-09-22,17172.68,4527.69,402.152008,1994.29,0.09
"5",2014-09-23,17055.87,4508.69,435.790985,1982.77,0.09
"6",2014-09-24,17210.06,4555.22,423.204987,1998.3,0.09
"7",2014-09-25,16945.8,4466.75,411.574005,1965.99,0.09
"8",2014-09-26,17113.15,4512.19,404.424988,1982.85,0.09
"9",2014-09-29,17071.22,4505.85,375.46701,1977.8,0.08
"10",2014-09-30,17042.9,4493.39,386.944,1972.29,0.07
"11",2014-10-01,16804.71,4422.09,383.61499,1946.16,0.09
"12",2014-10-02,16801.05,4430.2,375.071991,1946.17,0.09
"13",2014-10-03,17009.69,4475.62,359.511993,1967.9,0.09
"14",2014-10-06,16991.91,4454.8,330.07901,1964.82,0.09
"15",2014-10-07,16719.39,4385.2,336.187012,1935.1,0.09
"16",2014-10-08,16994.22,4468.59,352.940002,1968.89,0.09
"17",2014-10-09,16659.25,4378.34,365.026001,1928.21,0.08
"18",2014-10-10,16544.1,4276.24,361.562012,1906.13,0.09
"19",2014-10-13,16321.07,4213.66,390.414001,1874.74,NA
"20",2014-10-14,16315.19,4227.17,400.869995,1877.7,0.09
"21",2014-10-15,16141.74,4215.32,394.77301,1862.49,0.09
"22",2014-10-16,16117.24,4217.39,382.556,1862.76,0.09
"23",2014-10-17,16380.41,4258.44,383.757996,1886.76,0.09
"24",2014-10-20,16399.67,4316.07,382.845001,1904.01,0.09
"25",2014-10-21,16614.81,4419.48,386.475006,1941.28,0.09
"26",2014-10-22,16461.32,4382.85,383.15799,1927.11,0.09
"27",2014-10-23,16677.9,4452.79,358.416992,1950.82,0.09
"28",2014-10-24,16805.41,4483.72,358.345001,1964.58,0.09
"29",2014-10-27,16817.94,4485.93,352.989014,1961.63,0.09
"30",2014-10-28,17005.75,4564.29,357.618011,1985.05,0.09
"31",2014-10-29,16974.31,4549.23,335.591003,1982.3,0.09
"32",2014-10-30,17195.42,4566.14,345.304993,1994.65,0.09
"33",2014-10-31,17390.52,4630.74,338.321014,2018.05,0.07
"34",2014-11-03,17366.24,4638.91,327.553986,2017.81,0.09
"35",2014-11-04,17383.84,4623.64,330.492004,2012.1,0.1
"36",2014-11-05,17484.53,4620.72,339.485992,2023.57,0.09
"37",2014-11-06,17554.47,4638.47,349.290009,2031.21,0.09
"38",2014-11-07,17573.93,4632.53,342.415009,2031.92,0.09
"39",2014-11-10,17613.74,4651.62,366.924011,2038.26,0.09
"40",2014-11-11,17614.9,4660.56,367.695007,2039.68,NA
"41",2014-11-12,17612.2,4675.13,423.561005,2038.25,0.09
"42",2014-11-13,17652.79,4680.14,420.734985,2039.33,0.09
"43",2014-11-14,17634.74,4688.54,397.817993,2039.82,0.09
"44",2014-11-17,17647.75,4671,387.40799,2041.32,0.1
"45",2014-11-18,17687.82,4702.44,375.197998,2051.8,0.11
"46",2014-11-19,17685.73,4675.71,380.554993,2048.72,0.1
"47",2014-11-20,17719,4701.87,357.839996,2052.75,0.1
"48",2014-11-21,17810.06,4712.97,350.847992,2063.5,0.1
"49",2014-11-24,17817.9,4754.89,376.901001,2069.41,0.1
"50",2014-11-25,17814.94,4758.25,375.347992,2067.03,0.1
"51",2014-11-26,17827.75,4787.32,368.369995,2072.83,0.1
"52",2014-11-27,NA,NA,369.670013,NA,NA
"53",2014-11-28,17828.24,4791.63,376.446991,2067.56,0.08
"54",2014-12-01,17776.8,4727.35,379.244995,2053.44,0.13
"55",2014-12-02,17879.55,4755.81,381.315002,2066.55,0.12
"56",2014-12-03,17912.62,4774.47,375.01001,2074.33,0.12
"57",2014-12-04,17900.1,4769.44,369.604004,2071.92,0.12
"58",2014-12-05,17958.79,4780.76,376.854004,2075.37,0.12
"59",2014-12-08,17852.48,4740.69,361.908997,2060.31,0.12
"60",2014-12-09,17801.2,4766.47,352.218994,2059.82,0.12
"61",2014-12-10,17533.15,4684.03,346.36499,2026.14,0.12
"62",2014-12-11,17596.34,4708.16,350.506012,2035.33,0.12
"63",2014-12-12,17280.83,4653.6,352.541992,2002.33,0.12
"64",2014-12-15,17180.84,4605.16,345.345001,1989.63,0.11
"65",2014-12-16,17068.87,4547.83,327.062012,1972.74,0.12
"66",2014-12-17,17356.87,4644.31,319.776001,2012.89,0.13
"67",2014-12-18,17778.15,4748.4,311.395996,2061.23,0.13
"68",2014-12-19,17804.8,4765.38,317.842987,2070.65,0.13
"69",2014-12-22,17959.44,4781.42,331.885986,2078.54,0.13
"70",2014-12-23,18024.17,4765.42,334.571991,2082.17,0.13
"71",2014-12-24,18030.21,4773.47,322.533997,2081.88,0.13
"72",2014-12-25,NA,NA,319.007996,NA,NA
"73",2014-12-26,18053.71,4806.86,327.924011,2088.77,0.13
"74",2014-12-29,18038.23,4806.91,312.670013,2090.57,0.13
"75",2014-12-30,17983.07,4777.44,310.737,2080.35,0.13
"76",2014-12-31,17823.07,4736.05,320.192993,2058.9,0.06
"77",2015-01-01,NA,NA,314.248993,NA,NA
"78",2015-01-02,17832.99,4726.81,315.032013,2058.2,0.12
"79",2015-01-05,17501.65,4652.57,274.473999,2020.58,0.12
"80",2015-01-06,17371.64,4592.74,286.188995,2002.61,0.12
"81",2015-01-07,17584.52,4650.47,294.337006,2025.9,0.12
"82",2015-01-08,17907.87,4736.19,283.348999,2062.14,0.12
"83",2015-01-09,17737.37,4704.07,290.40799,2044.81,0.12
"84",2015-01-12,17640.84,4664.71,267.79599,2028.26,0.12
"85",2015-01-13,17613.68,4661.5,225.860992,2023.03,0.12
"86",2015-01-14,17427.09,4639.32,178.102997,2011.27,0.12
"87",2015-01-15,17320.71,4570.82,209.843994,1992.67,0.12
"88",2015-01-16,17511.57,4634.38,208.097,2019.42,0.13
"89",2015-01-19,NA,NA,214.860992,NA,NA
"90",2015-01-20,17515.23,4654.85,211.315002,2022.55,0.12
"91",2015-01-21,17554.28,4667.42,226.897003,2032.12,0.12
"92",2015-01-22,17813.98,4750.4,233.406006,2063.15,0.12
"93",2015-01-23,17672.6,4757.88,232.878998,2051.82,0.12
"94",2015-01-26,17678.7,4771.76,273.472992,2057.09,0.12
"95",2015-01-27,17387.21,4681.5,263.475006,2029.55,0.11
"96",2015-01-28,17191.37,4637.99,233.914993,2002.16,0.12
"97",2015-01-29,17416.85,4683.41,233.513,2021.25,0.11
"98",2015-01-30,17164.95,4635.24,226.425003,1994.99,0.06
"99",2015-02-02,17361.04,4676.69,238.229004,2020.85,0.12
"100",2015-02-03,17666.4,4727.74,227.268005,2050.03,0.12
"101",2015-02-04,17673.02,4716.7,226.852997,2041.51,0.11
"102",2015-02-05,17884.88,4765.1,217.110992,2062.52,0.12
"103",2015-02-06,17824.29,4744.4,222.266006,2055.47,0.11
"104",2015-02-09,17729.21,4726.01,220.110001,2046.74,0.12
"105",2015-02-10,17868.76,4787.64,219.839005,2068.59,0.12
"106",2015-02-11,17862.14,4801.18,219.184998,2068.53,0.12
"107",2015-02-12,17972.38,4857.61,221.764008,2088.48,0.12
"108",2015-02-13,18019.35,4893.84,235.427002,2096.99,0.12
"109",2015-02-16,NA,NA,233.843002,NA,NA
"110",2015-02-17,18047.58,4899.27,243.610001,2100.34,0.12
"111",2015-02-18,18029.85,4906.36,236.326004,2099.68,0.12
"112",2015-02-19,17985.77,4924.7,240.283005,2097.45,0.12
"113",2015-02-20,18140.44,4955.97,243.779007,2110.3,0.12
"114",2015-02-23,18116.84,4960.97,238.891998,2109.66,0.11
"115",2015-02-24,18209.19,4968.12,238.735001,2115.48,0.11
"116",2015-02-25,18224.57,4967.14,237.470001,2113.86,0.11
"117",2015-02-26,18214.42,4987.89,236.425995,2110.74,0.11
"118",2015-02-27,18132.7,4963.53,253.828003,2104.5,0.06
"119",2015-03-02,18288.63,5008.1,275.670013,2117.39,0.12
"120",2015-03-03,18203.37,4979.9,281.701996,2107.78,0.12
"121",2015-03-04,18096.9,4967.14,273.09201,2098.53,0.11
"122",2015-03-05,18135.72,4982.81,276.178009,2101.04,0.11
"123",2015-03-06,17856.78,4927.37,272.722992,2071.26,0.12
"124",2015-03-09,17995.72,4942.44,289.606995,2079.43,0.12
"125",2015-03-10,17662.94,4859.79,291.76001,2044.16,0.12
"126",2015-03-11,17635.39,4849.94,296.378998,2040.24,0.11
"127",2015-03-12,17895.22,4893.29,294.354004,2065.95,0.11
"128",2015-03-13,17749.31,4871.76,285.337006,2053.4,0.11
"129",2015-03-16,17977.42,4929.51,290.592987,2081.19,0.12
"130",2015-03-17,17849.08,4937.43,285.505005,2074.28,0.12
"131",2015-03-18,18076.19,4982.83,256.299011,2099.5,0.11
"132",2015-03-19,17959.03,4992.38,260.928009,2089.27,0.12
"133",2015-03-20,18127.65,5026.42,261.748993,2108.1,0.12
"134",2015-03-23,18116.04,5010.97,266.73999,2104.42,0.12
"135",2015-03-24,18011.14,4994.73,245.595001,2091.5,0.11
"136",2015-03-25,17718.54,4876.52,246.197006,2061.05,0.12
"137",2015-03-26,17678.23,4863.36,248.531998,2056.15,0.11
"138",2015-03-27,17712.66,4891.22,247.029007,2061.02,0.12
"139",2015-03-30,17976.31,4947.44,247.526001,2086.24,0.12
"140",2015-03-31,17776.12,4900.89,244.223999,2067.89,0.06
"141",2015-04-01,17698.18,4880.23,247.272003,2059.69,0.12
"142",2015-04-02,17763.24,4886.94,253.005005,2066.96,0.12
"143",2015-04-03,NA,NA,254.322006,NA,0.12
"144",2015-04-06,17880.85,4917.32,255.492004,2080.62,0.13
"145",2015-04-07,17875.42,4910.23,253.179993,2076.33,0.12
"146",2015-04-08,17902.51,4950.82,245.022003,2081.9,0.12
"147",2015-04-09,17958.73,4974.56,243.675995,2091.18,0.12
"148",2015-04-10,18057.65,4995.98,236.072006,2102.06,0.12
"149",2015-04-13,17977.04,4988.25,224.587006,2092.43,0.13
"150",2015-04-14,18036.7,4977.29,219.158997,2095.84,0.13
"151",2015-04-15,18112.61,5011.02,223.832993,2106.63,0.13
"152",2015-04-16,18105.77,5007.79,228.572998,2104.99,0.13
"153",2015-04-17,17826.3,4931.81,222.882004,2081.18,0.13
"154",2015-04-20,18034.93,4994.6,224.626007,2100.4,0.13
"155",2015-04-21,17949.59,5014.1,235.268997,2097.29,0.13
"156",2015-04-22,18038.27,5035.17,234.175995,2107.96,0.13
"157",2015-04-23,18058.69,5056.06,236.462006,2112.93,0.13
"158",2015-04-24,18080.14,5092.08,231.268005,2117.69,0.13
"159",2015-04-27,18037.97,5060.25,229.285995,2108.92,0.13
"160",2015-04-28,18110.14,5055.42,225.854996,2114.76,0.13
"161",2015-04-29,18035.53,5023.64,225.807999,2106.85,0.13
"162",2015-04-30,17840.52,4941.42,236.145004,2085.51,0.08
"163",2015-05-01,18024.06,5005.39,232.078995,2108.29,0.13
"164",2015-05-04,18070.4,5016.93,239.018005,2114.49,0.13
"165",2015-05-05,17928.2,4939.33,236.121002,2089.46,0.13
"166",2015-05-06,17841.98,4919.64,229.781998,2080.15,0.13
"167",2015-05-07,17924.06,4945.54,237.334,2088,0.13
"168",2015-05-08,18191.11,5003.55,243.863007,2116.1,0.13
"169",2015-05-11,18105.17,4993.57,242.158005,2105.33,0.13
"170",2015-05-12,18068.23,4976.19,241.112,2099.12,0.13
"171",2015-05-13,18060.49,4981.69,236.376999,2098.48,0.13
"172",2015-05-14,18252.24,5050.8,236.929001,2121.1,0.13
"173",2015-05-15,18272.56,5048.29,237.604996,2122.73,0.13
"174",2015-05-18,18298.88,5078.44,233.128006,2129.2,0.13
"175",2015-05-19,18312.39,5070.03,231.947006,2127.83,0.12
"176",2015-05-20,18285.4,5071.74,234.018005,2125.85,0.12
"177",2015-05-21,18285.74,5090.79,235.343994,2130.82,0.12
"178",2015-05-22,18232.02,5089.36,240.348007,2126.06,0.13
"179",2015-05-25,NA,NA,237.110001,NA,NA
"180",2015-05-26,18041.54,5032.75,237.115997,2104.2,0.12
"181",2015-05-27,18162.99,5106.59,237.283005,2123.48,0.12
"182",2015-05-28,18126.12,5097.98,237.408005,2120.79,0.12
"183",2015-05-29,18010.68,5070.03,237.095993,2107.39,0.08
"184",2015-06-01,18040.37,5082.93,222.925995,2111.73,0.12
"185",2015-06-02,18011.94,5076.52,225.802994,2109.6,0.12
"186",2015-06-03,18076.27,5099.23,225.873993,2114.07,0.13
"187",2015-06-04,17905.58,5059.12,224.324005,2095.84,0.13
"188",2015-06-05,17849.46,5068.46,224.951996,2092.83,0.13
"189",2015-06-08,17766.55,5021.63,228.488998,2079.28,0.13
"190",2015-06-09,17764.04,5013.87,229.048004,2080.15,0.13
